ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol,refined_price,stationary_price,teacher_target,trend_t_stat,train_mask
2026-01-22 18:47:05.999313581+00:00,10,1,42018129,A,N,0,103.25,1,168,0,53166233,103.25,166.75,1,1,1,1,103.15,166.85,1,1,1,1,103.05,166.95,1,1,1,1,102.95,167.05,1,1,1,1,102.85,167.15,1,1,1,1,102.75,167.25,1,1,1,1,102.65,167.35,1,1,1,1,102.55,167.45,1,1,1,1,102.35,167.55,1,1,1,1,102.2,167.65,1,1,1,1,ESH6-ESZ6,135.0,0.0,0.3278834627914675,4.206481248295925,1.0
2026-01-22 23:59:59.566869725+00:00,10,1,42140864,A,N,0,6995.75,1,168,0,55907163,6994.5,6995.5,2,1,2,1,6994.25,6995.75,1,2,1,2,6994.0,6996.0,2,3,2,3,6993.75,6996.25,2,1,2,1,6993.5,6996.5,3,3,2,2,6993.25,6996.75,2,2,2,2,6993.0,6997.0,1,1,1,1,6992.75,6997.25,1,1,1,1,6992.5,6997.5,2,1,2,1,6992.25,6997.75,2,3,2,3,ESM6,6995.0,3.947676108653888,0.31762801408719943,3.7766119985099786,1.0
2026-01-22 18:47:14.462530657+00:00,10,1,42011265,A,N,0,170.15,1,168,0,53167318,170.15,247.85,1,1,1,1,170.05,247.95,1,1,1,1,169.95,248.05,1,1,1,1,169.85,248.15,1,1,1,1,169.75,248.25,1,1,1,1,169.65,248.35,1,1,1,1,169.55,248.45,1,1,1,1,169.45,248.55,1,1,1,1,169.35,248.65,1,1,1,1,169.25,248.75,1,1,1,1,ESH6-ESH7,209.0,-3.5106166351301296,0.08428010072256797,3.8866308550642406,1.0
